dataset,spearman_corr,spearman_p,mse,mae,n_samples
kermut_fold_random_5,0.8588414004454175,3.445176076841416e-283,0.24956931403351484,0.37496245273282763,969
kermut_fold_random_5,0.8483948222068185,0.0,0.23689136713012898,0.35435786076419545,1187
kermut_fold_random_5,0.8466797710585502,0.0,0.28209292681032094,0.4021722864051047,4996
kermut_fold_random_5,0.8462650640026516,0.0,0.3213164430663014,0.3943019678036653,1195
kermut_fold_random_5,0.8440064640642626,0.0,0.24857662734949434,0.3604465185818917,1237
kermut_fold_random_5,0.841256145786148,0.0,0.29241213398504967,0.4173644499557905,12729
kermut_fold_random_5,0.8406295480746058,0.0,0.20691240471060346,0.29406706297932617,3802
kermut_fold_random_5,0.8387485212111887,0.0,0.3083670177560989,0.3710714544234557,3134
kermut_fold_modulo_5,0.8372914895317366,8.0533e-320,0.27605395137208555,0.39066516181269584,1213
kermut_fold_random_5,0.8368632808547721,0.0,0.26071283392974026,0.38592989224165475,9803
kermut_fold_modulo_5,0.83599608983718,0.0,0.3344697878920398,0.4436754585874765,4783
kermut_fold_random_5,0.835779484872605,0.0,0.2980470928884226,0.42356787516790106,10715
kermut_fold_random_5,0.8353265824378244,0.0,0.299686173987484,0.4250933181754144,12577
kermut_fold_modulo_5,0.8349790797103169,5.010664918592916e-258,0.3288480568547891,0.42520762068980766,988
kermut_fold_random_5,0.8347824872835634,0.0,0.25696606796766747,0.3899823054139557,2844
kermut_fold_random_5,0.8336418726524188,0.0,0.372681819475309,0.42769889537985617,6227
kermut_fold_modulo_5,0.832697668169707,0.0,0.275390408316393,0.40026725296881,1353
kermut_fold_modulo_5,0.8312415773330886,0.0,0.27704889571018415,0.4079030719255476,5004
kermut_fold_modulo_5,0.8295583131339554,1.45010204e-316,0.33218007608074257,0.44572034596771704,1244
kermut_fold_random_5,0.8289617620924238,0.0,0.25038537452154813,0.38501983364747194,6370
kermut_fold_modulo_5,0.828799853459715,6.448122350170745e-203,0.30443930725436563,0.40474544258892237,798
kermut_fold_random_5,0.827444737098108,0.0,0.3036634000405188,0.4250119957826032,10754
kermut_fold_modulo_5,0.8265665001539388,2.371946209403327e-261,0.233536986733015,0.3557755151421346,1040
kermut_fold_random_5,0.8264675256257511,0.0,0.26884013815419416,0.395399131276846,2695
kermut_fold_modulo_5,0.8263579616591636,0.0,0.32864300856368395,0.4451541387981546,4996
kermut_fold_random_5,0.826330137957966,0.0,0.3511733435231613,0.41119663152580216,3372
kermut_fold_modulo_5,0.824814789812464,1.1548039624951047e-303,0.3687987307618992,0.461983555580763,1219
kermut_fold_random_5,0.824671319789205,1.969354091859559e-43,0.40755543344112116,0.46029628387647065,170
kermut_fold_random_5,0.8235770757096064,0.0,0.2170325647128333,0.31432734096429965,3084
kermut_fold_modulo_5,0.822683761948742,1.2220017745076155e-267,0.3404662361383112,0.4447348868202583,1084
kermut_fold_modulo_5,0.8212011795624897,8.329487427353317e-169,0.30836449815928235,0.39433792916282795,686
kermut_fold_modulo_5,0.8211125261189155,1.397698424435679e-253,0.30422900010231185,0.41862839142998065,1034
kermut_fold_random_5,0.8209447677750528,0.0,0.21306813724701798,0.32204115827214674,5725
kermut_fold_modulo_5,0.820323426036713,6.793170558760735e-297,0.2265699673522202,0.3620910559293586,1216
kermut_fold_random_5,0.8197585015597842,7.492514352519272e-156,0.346185455093287,0.4629370638806908,637
kermut_fold_random_5,0.8177810092694453,2.899910108804243e-129,0.3186892206454354,0.4348249693729323,532
kermut_fold_modulo_5,0.8176327312219962,6.968411131785569e-299,0.21156462256546105,0.35804249108609365,1239
kermut_fold_modulo_5,0.8170954159568353,1.254686257639892e-276,0.28905520848053745,0.3947176300446475,1149
kermut_fold_random_5,0.815440783924322,9.712170520406974e-306,0.31166440049816707,0.4244736827614922,1280
kermut_fold_modulo_5,0.8143984314491929,1.4422761388434285e-225,0.3503956179170306,0.46229920970559657,947
kermut_fold_modulo_5,0.8129751376226798,1.1525885220059691e-180,0.32489109743627054,0.41378473199343835,762
kermut_fold_modulo_5,0.8127378611800855,0.0,0.35705858392038126,0.46657894391708793,6142
kermut_fold_random_5,0.8108394144293029,1.3767838865762644e-262,0.14679893814031056,0.2725914966784826,1121
kermut_fold_modulo_5,0.8107729641408215,5.064698608985718e-215,0.32317584182992315,0.43552609353336974,917
kermut_fold_random_5,0.8095746167680806,0.0,0.3096861784401548,0.4045975316304345,1519
kermut_fold_random_5,0.808132790657116,1.96789938573422e-173,0.29307159237348535,0.39256980917613116,747
